"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos ","Sigla do partido","Votos válidos do partido","Quociente eleitoral","Quociente partidário"
"20",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PL",19305,"11.628,20",1.66
"21",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PMDB",26714,"11.628,20",2.3
"22",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PMN",11507,"11.628,20",0.99
"23",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PPB",21123,"11.628,20",1.82
"24",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PPS",21760,"11.628,20",1.87
"25",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PRTB",1137,"11.628,20",0.1
"26",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PSB",19957,"11.628,20",1.72
"27",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PSC",2857,"11.628,20",0.25
"28",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PSDB",18644,"11.628,20",1.6
"29",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PSDC",20673,"11.628,20",1.78
"30",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PSL",4624,"11.628,20",0.4
"31",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PST",618,"11.628,20",0.05
"32",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PT",68123,"11.628,20",5.86
"33",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PT do B",2082,"11.628,20",0.18
"34",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PTB",10682,"11.628,20",0.92
"35",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PV",1976,"11.628,20",0.17
"36",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PAN",104,"13.446,07",0.01
"37",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PC do B",14487,"13.446,07",1.08
"38",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PDT",14953,"13.446,07",1.11
"39",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PFL",2026,"13.446,07",0.15
"40",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PHS",818,"13.446,07",0.06
"41",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PL",17482,"13.446,07",1.3
"42",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PMDB",28714,"13.446,07",2.14
"43",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PMN",13912,"13.446,07",1.03
"44",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PP",18354,"13.446,07",1.37
"45",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PPS",33808,"13.446,07",2.51
"46",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PRONA",247,"13.446,07",0.02
"47",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PRP",12514,"13.446,07",0.93
"48",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PRTB",674,"13.446,07",0.05
"49",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PSB",31254,"13.446,07",2.32
"50",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PSDB",20109,"13.446,07",1.5
"51",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PSDC",1301,"13.446,07",0.1
"52",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PSOL",4715,"13.446,07",0.35
"53",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PT",74234,"13.446,07",5.52
"54",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PT do B",6341,"13.446,07",0.47
"55",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PTB",3090,"13.446,07",0.23
"56",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PTC",11377,"13.446,07",0.85
"57",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PTN",8322,"13.446,07",0.62
"58",2006,"AC","DEPUTADO ESTADUAL",24,322706,"PV",3870,"13.446,07",0.29
"59",2010,"AC","DEPUTADO ESTADUAL",24,351973,"DEM",16330,"14.665,54",1.11
"60",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PC do B",25307,"14.665,54",1.73
"61",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PDT",11989,"14.665,54",0.82
"62",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PHS",763,"14.665,54",0.05
"63",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PMDB",29767,"14.665,54",2.03
"64",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PMN",15657,"14.665,54",1.07
"65",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PP",32773,"14.665,54",2.23
"66",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PPS",11238,"14.665,54",0.77
"67",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PR",8791,"14.665,54",0.6
"68",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PRB",3235,"14.665,54",0.22
"69",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PRP",11714,"14.665,54",0.8
"70",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PRTB",5055,"14.665,54",0.34
"71",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSB",22791,"14.665,54",1.55
"72",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSC",8641,"14.665,54",0.59
"73",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSDB",29362,"14.665,54",2
"74",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSDC",21114,"14.665,54",1.44
"75",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSL",6657,"14.665,54",0.45
"76",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PSOL",440,"14.665,54",0.03
"77",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PT",60623,"14.665,54",4.13
"78",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PT do B",4252,"14.665,54",0.29
"79",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PTB",4640,"14.665,54",0.32
"80",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PTC",7480,"14.665,54",0.51
"81",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PTN",5394,"14.665,54",0.37
"82",2010,"AC","DEPUTADO ESTADUAL",24,351973,"PV",7960,"14.665,54",0.54
"83",2014,"AC","DEPUTADO ESTADUAL",24,405600,"DEM",17111,"16.900",1.01
"84",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PC do B",16909,"16.900",1
"85",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PDT",33120,"16.900",1.96
"86",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PEN",13307,"16.900",0.79
"87",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PHS",3084,"16.900",0.18
"88",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PMDB",20723,"16.900",1.23
"89",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PMN",2840,"16.900",0.17
"90",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PP",27643,"16.900",1.64
"91",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PPL",4762,"16.900",0.28
"92",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PPS",4434,"16.900",0.26
"93",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PR",12561,"16.900",0.74
"94",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PRB",18116,"16.900",1.07
"95",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PROS",6414,"16.900",0.38
"96",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PRP",25913,"16.900",1.53
"97",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSB",26958,"16.900",1.6
"98",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSC",2388,"16.900",0.14
"99",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSD",18873,"16.900",1.12
"100",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSDB",19290,"16.900",1.14
"101",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSDC",16276,"16.900",0.96
"102",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSL",2856,"16.900",0.17
"103",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PSOL",1136,"16.900",0.07
"104",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PT",63454,"16.900",3.75
"105",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PT do B",3503,"16.900",0.21
"106",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PTB",4543,"16.900",0.27
"107",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PTC",2152,"16.900",0.13
"108",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PTN",18860,"16.900",1.12
"109",2014,"AC","DEPUTADO ESTADUAL",24,405600,"PV",10728,"16.900",0.63
"110",2014,"AC","DEPUTADO ESTADUAL",24,405600,"SD",7646,"16.900",0.45
"111",2018,"AC","DEPUTADO ESTADUAL",24,428535,"DC",5986,"17.855,61",0.34
"112",2018,"AC","DEPUTADO ESTADUAL",24,428535,"DEM",12601,"17.855,61",0.71
"113",2018,"AC","DEPUTADO ESTADUAL",24,428535,"MDB",40101,"17.855,61",2.25
"114",2018,"AC","DEPUTADO ESTADUAL",24,428535,"PATRI",1240,"17.855,61",0.07
"115",2018,"AC","DEPUTADO ESTADUAL",24,428535,"PC do B",16012,"17.855,61",0.9
"116",2018,"AC","DEPUTADO ESTADUAL",24,428535,"PDT",30063,"17.855,61",1.68
