"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"345",2002,"DEPUTADO FEDERAL","PT","MG",11
"346",2002,"DEPUTADO FEDERAL","PT","MS",3
"347",2002,"DEPUTADO FEDERAL","PT","MT",1
"348",2002,"DEPUTADO FEDERAL","PT","PA",3
"349",2002,"DEPUTADO FEDERAL","PT","PB",1
"350",2002,"DEPUTADO FEDERAL","PT","PE",3
"351",2002,"DEPUTADO FEDERAL","PT","PI",1
"352",2002,"DEPUTADO FEDERAL","PT","PR",6
"353",2002,"DEPUTADO FEDERAL","PT","RJ",7
"354",2002,"DEPUTADO FEDERAL","PT","RN",1
"355",2002,"DEPUTADO FEDERAL","PT","RO",2
"356",2002,"DEPUTADO FEDERAL","PT","RS",8
"357",2002,"DEPUTADO FEDERAL","PT","SC",5
"358",2002,"DEPUTADO FEDERAL","PT","SE",1
"359",2002,"DEPUTADO FEDERAL","PT","SP",18
"360",2002,"DEPUTADO FEDERAL","PTB","AL",2
"361",2002,"DEPUTADO FEDERAL","PTB","AM",1
"362",2002,"DEPUTADO FEDERAL","PTB","AP",1
"363",2002,"DEPUTADO FEDERAL","PTB","BA",1
"364",2002,"DEPUTADO FEDERAL","PTB","ES",1
"365",2002,"DEPUTADO FEDERAL","PTB","MG",2
"366",2002,"DEPUTADO FEDERAL","PTB","MS",1
"367",2002,"DEPUTADO FEDERAL","PTB","PA",1
"368",2002,"DEPUTADO FEDERAL","PTB","PB",2
"369",2002,"DEPUTADO FEDERAL","PTB","PR",3
"370",2002,"DEPUTADO FEDERAL","PTB","RJ",1
"371",2002,"DEPUTADO FEDERAL","PTB","RN",1
"372",2002,"DEPUTADO FEDERAL","PTB","RO",1
"373",2002,"DEPUTADO FEDERAL","PTB","RS",3
"374",2002,"DEPUTADO FEDERAL","PTB","SP",5
"375",2002,"DEPUTADO FEDERAL","PV","BA",1
"376",2002,"DEPUTADO FEDERAL","PV","MG",1
"377",2002,"DEPUTADO FEDERAL","PV","RJ",1
"378",2002,"DEPUTADO FEDERAL","PV","SP",2
"379",2006,"DEPUTADO FEDERAL","PAN","MA",1
"380",2006,"DEPUTADO FEDERAL","PC do B","AC",1
"381",2006,"DEPUTADO FEDERAL","PC do B","AM",1
"382",2006,"DEPUTADO FEDERAL","PC do B","AP",1
"383",2006,"DEPUTADO FEDERAL","PC do B","BA",2
"384",2006,"DEPUTADO FEDERAL","PC do B","CE",1
"385",2006,"DEPUTADO FEDERAL","PC do B","MA",1
"386",2006,"DEPUTADO FEDERAL","PC do B","MG",1
"387",2006,"DEPUTADO FEDERAL","PC do B","PE",1
"388",2006,"DEPUTADO FEDERAL","PC do B","PI",1
"389",2006,"DEPUTADO FEDERAL","PC do B","RJ",1
"390",2006,"DEPUTADO FEDERAL","PC do B","RS",1
"391",2006,"DEPUTADO FEDERAL","PC do B","SP",1
