"","Município - UF"
"601","Uibaí - BA"
"602","Umburanas - BA"
"603","Una - BA"
"604","Urandi - BA"
"605","Uruçuca - BA"
"606","Utinga - BA"
"607","Valença - BA"
"608","Valente - BA"
"609","Várzea da Roça - BA"
"610","Várzea do Poço - BA"
"611","Várzea Nova - BA"
"612","Varzedo - BA"
"613","Vera Cruz - BA"
"614","Vereda - BA"
"615","Vitória da Conquista - BA"
"616","Wagner - BA"
"617","Wanderley - BA"
"618","Wenceslau Guimarães - BA"
"619","Xique-Xique - BA"
"620","Abaiara - CE"
"621","Acarape - CE"
"622","Acaraú - CE"
"623","Acopiara - CE"
"624","Aiuaba - CE"
"625","Alcântaras - CE"
"626","Altaneira - CE"
"627","Alto Santo - CE"
"628","Amontada - CE"
"629","Antonina do Norte - CE"
"630","Apuiarés - CE"
"631","Aquiraz - CE"
"632","Aracati - CE"
"633","Aracoiaba - CE"
"634","Ararendá - CE"
"635","Araripe - CE"
"636","Aratuba - CE"
"637","Arneiroz - CE"
"638","Assaré - CE"
"639","Aurora - CE"
"640","Baixio - CE"
"641","Banabuiú - CE"
"642","Barbalha - CE"
"643","Barreira - CE"
"644","Barro - CE"
"645","Barroquinha - CE"
"646","Baturité - CE"
"647","Beberibe - CE"
"648","Bela Cruz - CE"
"649","Boa Viagem - CE"
"650","Brejo Santo - CE"
"651","Camocim - CE"
"652","Campos Sales - CE"
"653","Canindé - CE"
"654","Capistrano - CE"
"655","Caridade - CE"
"656","Cariré - CE"
"657","Caririaçu - CE"
"658","Cariús - CE"
"659","Carnaubal - CE"
"660","Cascavel - CE"
"661","Catarina - CE"
"662","Catunda - CE"
"663","Caucaia - CE"
"664","Cedro - CE"
"665","Chaval - CE"
"666","Choró - CE"
"667","Chorozinho - CE"
"668","Coreaú - CE"
"669","Crateús - CE"
"670","Crato - CE"
"671","Croatá - CE"
"672","Cruz - CE"
"673","Deputado Irapuan Pinheiro - CE"
"674","Ererê - CE"
"675","Eusébio - CE"
"676","Farias Brito - CE"
"677","Forquilha - CE"
"678","Fortaleza - CE"
"679","Fortim - CE"
"680","Frecheirinha - CE"
"681","General Sampaio - CE"
"682","Graça - CE"
"683","Granja - CE"
"684","Granjeiro - CE"
"685","Groaíras - CE"
"686","Guaiúba - CE"
"687","Guaraciaba do Norte - CE"
"688","Guaramiranga - CE"
"689","Hidrolândia - CE"
"690","Horizonte - CE"
"691","Ibaretama - CE"
"692","Ibiapina - CE"
"693","Ibicuitinga - CE"
"694","Icapuí - CE"
"695","Icó - CE"
"696","Iguatu - CE"
"697","Independência - CE"
"698","Ipaporanga - CE"
"699","Ipaumirim - CE"
"700","Ipu - CE"
"701","Ipueiras - CE"
"702","Iracema - CE"
"703","Irauçuba - CE"
"704","Itaiçaba - CE"
"705","Itaitinga - CE"
"706","Itapajé - CE"
"707","Itapipoca - CE"
"708","Itapiúna - CE"
"709","Itarema - CE"
"710","Itatira - CE"
"711","Jaguaretama - CE"
"712","Jaguaribara - CE"
"713","Jaguaribe - CE"
"714","Jaguaruana - CE"
"715","Jardim - CE"
"716","Jati - CE"
"717","Jijoca de Jericoacoara - CE"
"718","Juazeiro do Norte - CE"
"719","Jucás - CE"
"720","Lavras da Mangabeira - CE"
"721","Limoeiro do Norte - CE"
"722","Madalena - CE"
"723","Maracanaú - CE"
"724","Maranguape - CE"
"725","Marco - CE"
"726","Martinópole - CE"
"727","Massapê - CE"
"728","Mauriti - CE"
"729","Meruoca - CE"
"730","Milagres - CE"
"731","Milhã - CE"
"732","Miraíma - CE"
"733","Missão Velha - CE"
"734","Mombaça - CE"
"735","Monsenhor Tabosa - CE"
"736","Morada Nova - CE"
"737","Moraújo - CE"
"738","Morrinhos - CE"
"739","Mucambo - CE"
"740","Mulungu - CE"
"741","Nova Olinda - CE"
"742","Nova Russas - CE"
"743","Novo Oriente - CE"
"744","Ocara - CE"
"745","Orós - CE"
"746","Pacajus - CE"
"747","Pacatuba - CE"
"748","Pacoti - CE"
"749","Pacujá - CE"
"750","Palhano - CE"
"751","Palmácia - CE"
"752","Paracuru - CE"
"753","Paraipaba - CE"
"754","Parambu - CE"
"755","Paramoti - CE"
"756","Pedra Branca - CE"
"757","Penaforte - CE"
"758","Pentecoste - CE"
"759","Pereiro - CE"
"760","Pindoretama - CE"
"761","Piquet Carneiro - CE"
"762","Pires Ferreira - CE"
"763","Poranga - CE"
"764","Porteiras - CE"
"765","Potengi - CE"
"766","Potiretama - CE"
"767","Quiterianópolis - CE"
"768","Quixadá - CE"
"769","Quixelô - CE"
"770","Quixeramobim - CE"
"771","Quixeré - CE"
"772","Redenção - CE"
"773","Reriutaba - CE"
"774","Russas - CE"
"775","Saboeiro - CE"
"776","Salitre - CE"
"777","Santa Quitéria - CE"
"778","Santana do Acaraú - CE"
"779","Santana do Cariri - CE"
"780","São Benedito - CE"
"781","São Gonçalo do Amarante - CE"
"782","São João do Jaguaribe - CE"
"783","São Luís do Curu - CE"
"784","Senador Pompeu - CE"
"785","Senador Sá - CE"
"786","Sobral - CE"
"787","Solonópole - CE"
"788","Tabuleiro do Norte - CE"
"789","Tamboril - CE"
"790","Tarrafas - CE"
"791","Tauá - CE"
"792","Tejuçuoca - CE"
"793","Tianguá - CE"
"794","Trairi - CE"
"795","Tururu - CE"
"796","Ubajara - CE"
"797","Umari - CE"
"798","Umirim - CE"
"799","Uruburetama - CE"
"800","Uruoca - CE"
"801","Varjota - CE"
"802","Várzea Alegre - CE"
"803","Viçosa do Ceará - CE"
"804","Afonso Cláudio - ES"
"805","Água Doce do Norte - ES"
"806","Águia Branca - ES"
"807","Alegre - ES"
"808","Alfredo Chaves - ES"
"809","Alto Rio Novo - ES"
"810","Anchieta - ES"
"811","Apiacá - ES"
"812","Aracruz - ES"
"813","Atilio Vivacqua - ES"
"814","Baixo Guandu - ES"
"815","Barra de São Francisco - ES"
"816","Boa Esperança - ES"
"817","Bom Jesus do Norte - ES"
"818","Brejetuba - ES"
"819","Cachoeiro de Itapemirim - ES"
"820","Cariacica - ES"
"821","Castelo - ES"
"822","Colatina - ES"
"823","Conceição da Barra - ES"
"824","Conceição do Castelo - ES"
"825","Divino de São Lourenço - ES"
"826","Domingos Martins - ES"
"827","Dores do Rio Preto - ES"
"828","Ecoporanga - ES"
"829","Fundão - ES"
"830","Governador Lindenberg - ES"
"831","Guaçuí - ES"
"832","Guarapari - ES"
"833","Ibatiba - ES"
"834","Ibiraçu - ES"
"835","Ibitirama - ES"
"836","Iconha - ES"
"837","Irupi - ES"
"838","Itaguaçu - ES"
"839","Itapemirim - ES"
"840","Itarana - ES"
"841","Iúna - ES"
"842","Jaguaré - ES"
"843","Jerônimo Monteiro - ES"
"844","João Neiva - ES"
