"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"186",2002,"PE","Deputado Federal","PC do B",1,12,0.0233918128654971
"187",2002,"PI","Deputado Federal","PC do B",1,12,0.0233918128654971
"188",2002,"RJ","Deputado Federal","PC do B",1,12,0.0233918128654971
"189",2002,"SP","Deputado Federal","PC do B",2,12,0.0233918128654971
"190",2002,"AP","Deputado Federal","PDT",2,21,0.0409356725146199
"191",2002,"BA","Deputado Federal","PDT",1,21,0.0409356725146199
"192",2002,"ES","Deputado Federal","PDT",1,21,0.0409356725146199
"193",2002,"MA","Deputado Federal","PDT",3,21,0.0409356725146199
"194",2002,"MG","Deputado Federal","PDT",2,21,0.0409356725146199
"195",2002,"PA","Deputado Federal","PDT",1,21,0.0409356725146199
"196",2002,"PR","Deputado Federal","PDT",1,21,0.0409356725146199
"197",2002,"RJ","Deputado Federal","PDT",3,21,0.0409356725146199
"198",2002,"RR","Deputado Federal","PDT",2,21,0.0409356725146199
"199",2002,"RS","Deputado Federal","PDT",3,21,0.0409356725146199
"200",2002,"SC","Deputado Federal","PDT",1,21,0.0409356725146199
"201",2002,"SP","Deputado Federal","PDT",1,21,0.0409356725146199
"202",2002,"AL","Deputado Federal","PFL",2,84,0.16374269005848
"203",2002,"AM","Deputado Federal","PFL",3,84,0.16374269005848
"204",2002,"BA","Deputado Federal","PFL",19,84,0.16374269005848
"205",2002,"CE","Deputado Federal","PFL",2,84,0.16374269005848
"206",2002,"DF","Deputado Federal","PFL",1,84,0.16374269005848
"207",2002,"GO","Deputado Federal","PFL",3,84,0.16374269005848
"208",2002,"MA","Deputado Federal","PFL",7,84,0.16374269005848
"209",2002,"MG","Deputado Federal","PFL",7,84,0.16374269005848
"210",2002,"MS","Deputado Federal","PFL",1,84,0.16374269005848
"211",2002,"MT","Deputado Federal","PFL",1,84,0.16374269005848
"212",2002,"PA","Deputado Federal","PFL",1,84,0.16374269005848
"213",2002,"PB","Deputado Federal","PFL",1,84,0.16374269005848
"214",2002,"PE","Deputado Federal","PFL",5,84,0.16374269005848
"215",2002,"PI","Deputado Federal","PFL",4,84,0.16374269005848
"216",2002,"PR","Deputado Federal","PFL",2,84,0.16374269005848
"217",2002,"RJ","Deputado Federal","PFL",4,84,0.16374269005848
"218",2002,"RN","Deputado Federal","PFL",2,84,0.16374269005848
"219",2002,"RO","Deputado Federal","PFL",1,84,0.16374269005848
"220",2002,"RR","Deputado Federal","PFL",3,84,0.16374269005848
"221",2002,"RS","Deputado Federal","PFL",1,84,0.16374269005848
"222",2002,"SC","Deputado Federal","PFL",2,84,0.16374269005848
"223",2002,"SE","Deputado Federal","PFL",2,84,0.16374269005848
"224",2002,"SP","Deputado Federal","PFL",7,84,0.16374269005848
"225",2002,"TO","Deputado Federal","PFL",3,84,0.16374269005848
"226",2002,"AL","Deputado Federal","PL",1,26,0.050682261208577
"227",2002,"AM","Deputado Federal","PL",3,26,0.050682261208577
"228",2002,"CE","Deputado Federal","PL",2,26,0.050682261208577
"229",2002,"ES","Deputado Federal","PL",1,26,0.050682261208577
"230",2002,"MA","Deputado Federal","PL",1,26,0.050682261208577
"231",2002,"MG","Deputado Federal","PL",4,26,0.050682261208577
"232",2002,"MT","Deputado Federal","PL",1,26,0.050682261208577
"233",2002,"PA","Deputado Federal","PL",1,26,0.050682261208577
"234",2002,"PB","Deputado Federal","PL",1,26,0.050682261208577
"235",2002,"PE","Deputado Federal","PL",1,26,0.050682261208577
"236",2002,"PR","Deputado Federal","PL",1,26,0.050682261208577
"237",2002,"RJ","Deputado Federal","PL",3,26,0.050682261208577
"238",2002,"RR","Deputado Federal","PL",1,26,0.050682261208577
"239",2002,"RS","Deputado Federal","PL",1,26,0.050682261208577
"240",2002,"SE","Deputado Federal","PL",1,26,0.050682261208577
"241",2002,"SP","Deputado Federal","PL",3,26,0.050682261208577
"242",2002,"AC","Deputado Federal","PMDB",2,76,0.148148148148148
"243",2002,"AL","Deputado Federal","PMDB",1,76,0.148148148148148
"244",2002,"BA","Deputado Federal","PMDB",3,76,0.148148148148148
"245",2002,"CE","Deputado Federal","PMDB",5,76,0.148148148148148
"246",2002,"DF","Deputado Federal","PMDB",3,76,0.148148148148148
