"","ANO_ELEICAO","UF","SIGLA_PARTIDO","VOT_PART_UF"
"714",2002,"AP","PTB",12174
"715",2002,"AP","PV",2953
"716",2002,"BA","PAN",26058
"717",2002,"BA","PC do B",229942
"718",2002,"BA","PCO",4636
"719",2002,"BA","PDT",157440
"720",2002,"BA","PFL",2488818
"721",2002,"BA","PGT",2161
"722",2002,"BA","PHS",8140
"723",2002,"BA","PL",150884
"724",2002,"BA","PMDB",500418
"725",2002,"BA","PMN",23148
"726",2002,"BA","PPB",252602
"727",2002,"BA","PPS",90584
"728",2002,"BA","PRP",8625
"729",2002,"BA","PRTB",5661
"730",2002,"BA","PSB",134932
"731",2002,"BA","PSC",8067
"732",2002,"BA","PSD",12954
"733",2002,"BA","PSDB",358734
"734",2002,"BA","PSDC",32406
"735",2002,"BA","PST",21070
"736",2002,"BA","PSTU",6004
"737",2002,"BA","PT",1147520
"738",2002,"BA","PT do B",5922
"739",2002,"BA","PTB",203170
"740",2002,"BA","PTC",10485
"741",2002,"BA","PTN",4174
"742",2002,"BA","PV",61605
"743",2002,"CE","PAN",4310
"744",2002,"CE","PC do B",329150
"745",2002,"CE","PCB",1804
"746",2002,"CE","PDT",79137
"747",2002,"CE","PFL",427039
"748",2002,"CE","PGT",1636
"749",2002,"CE","PL",151584
"750",2002,"CE","PMDB",697637
"751",2002,"CE","PMN",6370
"752",2002,"CE","PPB",123392
"753",2002,"CE","PPS",197640
"754",2002,"CE","PRTB",1539
"755",2002,"CE","PSB",84702
"756",2002,"CE","PSC",3370
"757",2002,"CE","PSD",8435
"758",2002,"CE","PSDB",1142162
"759",2002,"CE","PSDC",5139
"760",2002,"CE","PSL",3394
"761",2002,"CE","PST",5825
"762",2002,"CE","PSTU",2849
"763",2002,"CE","PT",327646
"764",2002,"CE","PT do B",1800
"765",2002,"CE","PTB",15985
"766",2002,"CE","PTN",1408
"767",2002,"CE","PV",4378
"768",2002,"DF","PAN",2228
"769",2002,"DF","PC do B",97052
"770",2002,"DF","PCB",366
"771",2002,"DF","PCO",722
"772",2002,"DF","PDT",6926
"773",2002,"DF","PFL",367503
"774",2002,"DF","PGT",4104
"775",2002,"DF","PHS",5089
"776",2002,"DF","PL",15676
"777",2002,"DF","PMDB",274097
"778",2002,"DF","PMN",641
"779",2002,"DF","PPB",25076
"780",2002,"DF","PPS",15292
"781",2002,"DF","PRONA",501
"782",2002,"DF","PRP",499
"783",2002,"DF","PRTB",5797
"784",2002,"DF","PSB",5257
"785",2002,"DF","PSC",2972
"786",2002,"DF","PSD",32732
"787",2002,"DF","PSDB",19474
"788",2002,"DF","PSDC",994
"789",2002,"DF","PSTU",2537
"790",2002,"DF","PT",325049
"791",2002,"DF","PT do B",195
"792",2002,"DF","PTB",9163
"793",2002,"DF","PTC",218
"794",2002,"DF","PTN",363
"795",2002,"DF","PV",252
"796",2002,"ES","PAN",2567
"797",2002,"ES","PC do B",16216
"798",2002,"ES","PCO",809
"799",2002,"ES","PDT",186689
"800",2002,"ES","PFL",135564
"801",2002,"ES","PGT",4679
"802",2002,"ES","PHS",771
"803",2002,"ES","PL",50485
"804",2002,"ES","PMDB",222245
"805",2002,"ES","PMN",39513
"806",2002,"ES","PPB",197237
"807",2002,"ES","PPS",8900
"808",2002,"ES","PRONA",933
"809",2002,"ES","PRP",2013
"810",2002,"ES","PRTB",3155
"811",2002,"ES","PSB",129536
