"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"259",1998,"DEPUTADO ESTADUAL","PTB","SC",1
"260",1998,"DEPUTADO ESTADUAL","PTB","SE",2
"261",1998,"DEPUTADO ESTADUAL","PTB","SP",5
"262",1998,"DEPUTADO ESTADUAL","PTB","TO",1
"263",1998,"DEPUTADO ESTADUAL","PV","BA",1
"264",1998,"DEPUTADO ESTADUAL","PV","PB",1
"265",1998,"DEPUTADO ESTADUAL","PV","RJ",1
"266",1998,"DEPUTADO ESTADUAL","PV","SP",1
"267",2002,"DEPUTADO ESTADUAL","PAN","RR",1
"268",2002,"DEPUTADO ESTADUAL","PC do B","AC",2
"269",2002,"DEPUTADO ESTADUAL","PC do B","AM",1
"270",2002,"DEPUTADO ESTADUAL","PC do B","AP",1
"271",2002,"DEPUTADO ESTADUAL","PC do B","BA",3
"272",2002,"DEPUTADO ESTADUAL","PC do B","CE",1
"273",2002,"DEPUTADO ESTADUAL","PC do B","GO",1
"274",2002,"DEPUTADO ESTADUAL","PC do B","MG",1
"275",2002,"DEPUTADO ESTADUAL","PC do B","PA",1
"276",2002,"DEPUTADO ESTADUAL","PC do B","PE",1
"277",2002,"DEPUTADO ESTADUAL","PC do B","RJ",1
"278",2002,"DEPUTADO ESTADUAL","PC do B","RS",1
"279",2002,"DEPUTADO ESTADUAL","PC do B","SP",2
"280",2002,"DEPUTADO ESTADUAL","PDT","AL",1
"281",2002,"DEPUTADO ESTADUAL","PDT","AM",1
"282",2002,"DEPUTADO ESTADUAL","PDT","AP",3
"283",2002,"DEPUTADO ESTADUAL","PDT","BA",2
"284",2002,"DEPUTADO ESTADUAL","PDT","CE",1
"285",2002,"DEPUTADO ESTADUAL","PDT","ES",2
"286",2002,"DEPUTADO ESTADUAL","PDT","GO",1
"287",2002,"DEPUTADO ESTADUAL","PDT","MA",5
"288",2002,"DEPUTADO ESTADUAL","PDT","MG",5
"289",2002,"DEPUTADO ESTADUAL","PDT","MS",3
"290",2002,"DEPUTADO ESTADUAL","PDT","PA",2
"291",2002,"DEPUTADO ESTADUAL","PDT","PB",1
"292",2002,"DEPUTADO ESTADUAL","PDT","PE",3
"293",2002,"DEPUTADO ESTADUAL","PDT","PI",2
"294",2002,"DEPUTADO ESTADUAL","PDT","PR",6
"295",2002,"DEPUTADO ESTADUAL","PDT","RJ",4
"296",2002,"DEPUTADO ESTADUAL","PDT","RN",1
"297",2002,"DEPUTADO ESTADUAL","PDT","RO",3
"298",2002,"DEPUTADO ESTADUAL","PDT","RR",1
"299",2002,"DEPUTADO ESTADUAL","PDT","RS",7
"300",2002,"DEPUTADO ESTADUAL","PDT","SE",3
"301",2002,"DEPUTADO ESTADUAL","PDT","SP",4
"302",2002,"DEPUTADO ESTADUAL","PFL","AC",1
"303",2002,"DEPUTADO ESTADUAL","PFL","AL",1
"304",2002,"DEPUTADO ESTADUAL","PFL","AM",5
"305",2002,"DEPUTADO ESTADUAL","PFL","BA",16
"306",2002,"DEPUTADO ESTADUAL","PFL","CE",1
"307",2002,"DEPUTADO ESTADUAL","PFL","ES",4
"308",2002,"DEPUTADO ESTADUAL","PFL","GO",3
"309",2002,"DEPUTADO ESTADUAL","PFL","MA",14
"310",2002,"DEPUTADO ESTADUAL","PFL","MG",5
"311",2002,"DEPUTADO ESTADUAL","PFL","MS",1
"312",2002,"DEPUTADO ESTADUAL","PFL","MT",3
"313",2002,"DEPUTADO ESTADUAL","PFL","PB",4
"314",2002,"DEPUTADO ESTADUAL","PFL","PE",7
"315",2002,"DEPUTADO ESTADUAL","PFL","PI",9
"316",2002,"DEPUTADO ESTADUAL","PFL","PR",7
"317",2002,"DEPUTADO ESTADUAL","PFL","RJ",4
"318",2002,"DEPUTADO ESTADUAL","PFL","RN",4
"319",2002,"DEPUTADO ESTADUAL","PFL","RO",2
"320",2002,"DEPUTADO ESTADUAL","PFL","RR",2
"321",2002,"DEPUTADO ESTADUAL","PFL","RS",1
"322",2002,"DEPUTADO ESTADUAL","PFL","SC",8
"323",2002,"DEPUTADO ESTADUAL","PFL","SE",3
"324",2002,"DEPUTADO ESTADUAL","PFL","SP",6
"325",2002,"DEPUTADO ESTADUAL","PFL","TO",7
"326",2002,"DEPUTADO ESTADUAL","PGT","MA",1
"327",2002,"DEPUTADO ESTADUAL","PGT","SP",1
"328",2002,"DEPUTADO ESTADUAL","PHS","CE",2
"329",2002,"DEPUTADO ESTADUAL","PL","AC",2
"330",2002,"DEPUTADO ESTADUAL","PL","AL",3
"331",2002,"DEPUTADO ESTADUAL","PL","AM",5
"332",2002,"DEPUTADO ESTADUAL","PL","AP",2
"333",2002,"DEPUTADO ESTADUAL","PL","BA",4
"334",2002,"DEPUTADO ESTADUAL","PL","CE",3
"335",2002,"DEPUTADO ESTADUAL","PL","ES",2
"336",2002,"DEPUTADO ESTADUAL","PL","GO",1
"337",2002,"DEPUTADO ESTADUAL","PL","MA",1
"338",2002,"DEPUTADO ESTADUAL","PL","MG",7
"339",2002,"DEPUTADO ESTADUAL","PL","MS",3
"340",2002,"DEPUTADO ESTADUAL","PL","MT",2
"341",2002,"DEPUTADO ESTADUAL","PL","PA",5
"342",2002,"DEPUTADO ESTADUAL","PL","PB",1
"343",2002,"DEPUTADO ESTADUAL","PL","PE",2
"344",2002,"DEPUTADO ESTADUAL","PL","PI",1
"345",2002,"DEPUTADO ESTADUAL","PL","PR",2
"346",2002,"DEPUTADO ESTADUAL","PL","RJ",4
"347",2002,"DEPUTADO ESTADUAL","PL","RN",1
"348",2002,"DEPUTADO ESTADUAL","PL","RO",2
"349",2002,"DEPUTADO ESTADUAL","PL","SC",1
"350",2002,"DEPUTADO ESTADUAL","PL","SE",2
"351",2002,"DEPUTADO ESTADUAL","PL","SP",2
"352",2002,"DEPUTADO ESTADUAL","PL","TO",1
"353",2002,"DEPUTADO ESTADUAL","PMDB","AC",2
"354",2002,"DEPUTADO ESTADUAL","PMDB","AM",3
"355",2002,"DEPUTADO ESTADUAL","PMDB","AP",4
"356",2002,"DEPUTADO ESTADUAL","PMDB","BA",3
"357",2002,"DEPUTADO ESTADUAL","PMDB","CE",5
"358",2002,"DEPUTADO ESTADUAL","PMDB","ES",2
"359",2002,"DEPUTADO ESTADUAL","PMDB","GO",9
"360",2002,"DEPUTADO ESTADUAL","PMDB","MA",3
"361",2002,"DEPUTADO ESTADUAL","PMDB","MG",9
"362",2002,"DEPUTADO ESTADUAL","PMDB","MS",2
"363",2002,"DEPUTADO ESTADUAL","PMDB","MT",3
"364",2002,"DEPUTADO ESTADUAL","PMDB","PA",8
"365",2002,"DEPUTADO ESTADUAL","PMDB","PB",9
"366",2002,"DEPUTADO ESTADUAL","PMDB","PE",7
"367",2002,"DEPUTADO ESTADUAL","PMDB","PI",6
"368",2002,"DEPUTADO ESTADUAL","PMDB","PR",8
"369",2002,"DEPUTADO ESTADUAL","PMDB","RJ",12
"370",2002,"DEPUTADO ESTADUAL","PMDB","RN",4
